athlete_id,name
2800,Bracey Wright
2801,Antoine Wright
2802,Alex Acker
2804,Arvydas Macijauskas
2805,Fabricio Oberto
2806,Jose Calderon
2807,Ronnie Price
2808,Deng Gai
2809,Rawle Marshall
2810,Shavlik Randolph
2811,Eddie Basden
2813,Sarunas Jasikevicius
2814,Matt Walsh
2815,Donell Taylor
2816,Will Bynum
2817,Anthony Roberson
2818,Luke Schenscher
2819,Dwayne Jones II
2821,Kelenna Azubuike
2824,Esteban Batista
2827,Will Conroy
2830,Sharrod Ford
2832,Stephen Graham
2833,Anthony Grundy
2834,Chuck Hayes
2837,Keith Langford
2839,Aaron Miles
2841,Boniface N'Dong
2850,Jawad Williams
2855,Kevin Burleson
2863,Andre Owens
2866,John Lucas III
2871,Noel Felix
2873,James Singleton
2886,Devin Green
2887,Roger Powell
2981,Hassan Adams
2982,Maurice Ager
2983,LaMarcus Aldridge
2984,Hilton Armstrong
2985,James Augustine
2986,Renaldo Balkman
2987,Andrea Bargnani
2989,Will Blalock
2990,Josh Boone
2991,Ronnie Brewer
2992,Shannon Brown
2994,Dee Brown
2995,Rodney Carney
2996,Cheikh Samb
2997,Mardy Collins
2998,Paul Davis
2999,Guillermo Diaz
3000,Quincy Douby
3002,Jordan Farmar
3003,Randy Foye
3004,Joel Freeland
3005,Rudy Gay
3006,Daniel Gibson
3008,Ryan Hollins
3009,Alexander Johnson
3010,Solomon Jones
3011,Bobby Jones
3012,Kyle Lowry
3013,Damir Markota
3015,Paul Millsap
3016,Adam Morrison
3017,David Noel
3018,Steve Novak
3019,Patrick O'Bryant
3020,Oleksiy Pecherov
3021,Kosta Perovic
3023,Leon Powe
3024,JJ Redick
3025,Sergio Rodriguez
3026,Rajon Rondo
3027,Brandon Roy
3028,Thabo Sefolosha
3029,Mouhamed Sene
3030,Cedric Simmons
3031,Craig Smith
3032,Tyrus Thomas
3033,P.J. Tucker
3036,Marquinhos Vieira
3037,James White
3038,Shawne Williams
3039,Marcus Williams
3040,Shelden Williams
3041,Lou Amundson
3045,Tarence Kinsey
3046,Chris Quinn
3047,Allan Ray
3048,Yakhouba Diawara
3049,Jorge Garbajosa
3052,Justin Williams
3053,Pops Mensah-Bonsu
3054,Robert Hite
3055,J.J. Barea
3057,Darius Washington
3058,Walter Herrmann Heinrich
3059,Ivan McFarlin
3060,Mike Hall
3061,Kevinn Pinkney
3064,Steven Smith
3066,Cedric Bozeman
3081,Mike  Harris
3083,Chris McCray
3105,Eugene Jeter
3153,Renaldo Major
3160,Jeremy Richardson
3179,Randolph Morris
3187,Arron Afflalo
3188,Morris Almond
3190,Marco Belinelli
3191,Corey Brewer
3192,Aaron Brooks
3193,Derrick Byars
3194,Wilson Chandler
3195,Mike Conley
3196,Daequan Cook
3197,Javaris Crittenton
3199,Jermareo Davidson
3200,Glen Davis
3201,Jared Dudley
3202,Kevin Durant
3203,Nick Fazekas
3204,Rudy Fernandez
3205,Kyrylo Fesenko
3206,Marc Gasol
3207,Aaron Gray
3208,Taurean Green
3209,Jeff Green
3211,Spencer Hawes
3213,Al Horford
3214,Yi Jianlian
3217,Carl Landry
3218,Stephane Lasme
3219,Acie Law
3220,Josh McRoberts
3223,Demetris Nichols
3224,Joakim Noah
3225,Greg Oden
3227,Gabe Pruitt
3229,Chris Richard
3231,Ramon Sessions
3232,Jason Smith
3233,Tiago Splitter
3234,D.J. Strawberry
3235,Rodney Stuckey
3237,Al Thornton
3238,Alando Tucker
3239,Sean Williams
3240,Marcus Williams
3241,Julian Wright
3242,Brandan Wright
3243,Nick Young
3244,Thaddeus Young
3245,Sun Yue
3246,Dominic McGuire
