season,team,sp_overall,sp_off,sp_def
2016,Temple,11.9,31.5,19.8
2016,Boise State,11.5,36.7,25.0
2016,Western Michigan,11.5,40.0,28.9
2016,San Diego State,11.4,32.0,22.5
2016,Baylor,11.3,37.0,24.2
2016,West Virginia,11.3,35.7,22.8
2016,TCU,11.0,34.5,23.4
2016,Utah,10.9,32.5,23.6
2016,Texas,10.6,37.4,26.8
2016,Iowa,10.3,29.0,18.9
2016,Nebraska,10.3,37.7,28.3
2016,Houston,10.1,30.8,21.7
2016,South Florida,9.8,44.4,34.9
2016,NC State,9.4,30.5,19.3
2016,Georgia,9.3,28.0,17.6
2016,App State,9.2,30.0,20.5
2016,UCLA,9.1,27.5,17.3
2016,Kansas State,8.2,34.2,27.2
2016,BYU,8.0,29.6,23.1
2016,Arkansas,7.9,36.2,28.9
2016,Georgia Tech,7.8,35.0,28.5
2016,Memphis,7.7,33.8,29.3
2016,Michigan State,7.4,31.0,24.1
2016,Tulsa,7.4,34.6,27.6
2016,Navy,6.8,39.8,33.9
2016,Colorado,6.3,29.3,21.7
2016,Washington State,6.2,36.2,27.8
2016,Oregon,6.1,42.5,36.1
2016,Mississippi State,5.4,34.5,27.8
2016,Indiana,4.6,25.1,19.4
2016,Air Force,4.4,33.0,29.9
2016,Texas Tech,3.7,40.6,36.9
2016,Louisiana Tech,3.1,39.8,36.9
2016,Northwestern,2.9,27.9,23.5
2016,California,2.4,38.4,36.3
2016,Troy,1.1,25.7,25.1
2016,Colorado State,0.8,33.5,34.0
2016,Southern Miss,0.7,29.1,29.6
2016,Iowa State,0.7,27.0,28.5
2016,Wake Forest,-0.6,21.5,22.9
2016,Maryland,-0.6,28.7,28.1
2016,Old Dominion,-0.7,29.9,30.9
2016,Missouri,-1.0,31.2,31.3
2016,Vanderbilt,-1.2,25.3,26.3
2016,Arkansas State,-1.2,21.9,21.1
2016,Boston College,-1.6,20.1,20.8
2016,Middle Tennessee,-1.9,35.0,36.8
2016,Ohio,-2.1,22.0,25.8
2016,UCF,-2.2,19.3,23.3
2016,Northern Illinois,-2.4,32.0,32.7
2016,Kentucky,-2.6,30.8,33.4
2016,Syracuse,-2.7,29.2,31.2
2016,Duke,-2.8,26.8,27.6
2016,Arizona State,-3.0,32.2,37.6
2016,Cincinnati,-3.6,24.5,27.3
2016,Virginia,-3.8,25.4,28.5
2016,Georgia Southern,-3.9,27.8,32.6
2016,South Carolina,-4.0,22.7,27.5
2016,Utah State,-4.4,24.7,27.7
2016,Arizona,-4.5,29.6,32.4
2016,Oregon State,-4.6,26.1,30.0
2016,New Mexico,-5.1,32.2,38.6
2016,Akron,-5.6,22.3,28.2
2016,Miami (OH),-6.1,23.8,29.0
2016,Central Michigan,-6.1,27.6,31.4
2016,Bowling Green,-6.6,25.0,31.8
2016,Illinois,-6.7,22.7,29.5
2016,Wyoming,-6.9,30.4,37.5
2016,Ball State,-7.0,28.2,35.1
2016,Eastern Michigan,-8.2,28.3,36.6
2016,Idaho,-8.6,24.7,34.9
